job_title,task
Data Scientist,"Collect data relating to commercial or residential development, population, or power system interconnection to determine operating efficiency of electrical systems."
Data Scientist,"Study economic and statistical data in area of specialization, such as finance, labor, or agriculture."
Data Scientist,"Analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure."
Data Scientist,"Analyze, interpret, or create graphical representations of energy data, using engineering software."
Data Scientist,"Conduct field surveys or study maps, graphs, diagrams, or other data to identify and correct power system problems."
Data Scientist,"Advise clients or colleagues on topics such as climate control systems, energy modeling, data logging, sustainable design, or energy auditing."
Data Scientist,"Analyze energy bills, including utility rates or tariffs, to gather historical energy usage data."
Data Scientist,"Apply remote sensing data or techniques, such as surface water modeling or dust cloud detection, to address environmental issues."
Data Scientist,Collect and analyze field data related to energy usage.
Data Scientist,Collect and record data associated with operating geothermal power plants or well fields.
Data Scientist,"Collect data for energy conservation analyses, using jobsite observation, field inspections, or sub-metering."
Data Scientist,Collect geological data from potential geothermal energy plant sites.
Data Scientist,"Collect geospatial data, using technologies such as aerial photography, light and radio wave detection systems, digital satellites, or thermal energy systems."
Data Scientist,Compare existing energy consumption levels to normative data.
Data Scientist,"Compile and report meteorological data, such as temperature, relative humidity, wind direction and velocity, and types of cloud formations."
Environmental Services Analyst,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives."
Environmental Services Analyst,"Collect and analyze data to evaluate the effectiveness of academic programs and other services, such as behavioral management systems."
Environmental Services Analyst,Apply traditional ecological knowledge and assessments of culturally distinctive land and resource management institutions to assist in the resolution of conflicts over habitat protection and resource enhancement.
Environmental Services Analyst,"Assess archeological sites for resource management, development, or conservation purposes and recommend methods for site protection."
Environmental Services Analyst,"Compile water resource data, using geographic information systems (GIS) or global position systems (GPS) software."
Environmental Services Analyst,Coordinate public responses to environmental management incidents or conflicts.
Environmental Services Analyst,"Create diagrams to communicate environmental remediation planning, using geographic information systems (GIS), computer-aided design (CAD), or other mapping or diagramming software."
Environmental Services Analyst,"Create environmental models or simulations, using geographic information system (GIS) data and knowledge of particular ecosystems or ecological regions."
Environmental Services Analyst,Design and conduct scientific hydrogeological investigations to ensure that accurate and appropriate information is available for use in water resource management decisions.
Environmental Services Analyst,"Develop environmental management or restoration plans for sites with power transmission lines, natural gas pipelines, fuel refineries, geothermal plants, wind farms, or solar farms."
Environmental Services Analyst,"Develop environmental research project plans, including information on budgets, goals, deliverables, timelines, and resource requirements."
Environmental Services Analyst,Develop marketing campaigns for environmental technologies or services.
Environmental Services Analyst,"Develop natural resource management plans, using knowledge of environmental planning or state and federal environmental regulatory requirements."
Sustainability Analyst,"Monitor fundamental economic, industrial, and corporate developments by analyzing information from financial publications and services, investment banking firms, government agencies, trade publications, company sources, or personal interviews."
Sustainability Analyst,"Develop educational materials and programs for community agencies, local government, and state government."
Sustainability Analyst,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals."
Sustainability Analyst,"Advocate sustainability to community groups, government agencies, the general public, or special interest groups."
Sustainability Analyst,"Coordinate or implement technical, financial, or administrative assistance programs for local government units to ensure efficient program implementation or timely responses to requests for assistance."
Sustainability Analyst,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups."
Sustainability Analyst,"Initiate, schedule, or conduct annual audits or compliance checks of program implementation by local government."
Sustainability Analyst,"Maintain knowledge of real estate law, local economies, fair housing laws, types of available mortgages, financing options, and government programs."
Sustainability Analyst,Monitor regulatory affairs activities to ensure their alignment with corporate sustainability or green initiatives.
Geospatial Climate Scientist,"Perform geospatial data building, modeling, or analysis, using advanced spatial analysis, data manipulation, or cartography software."
Geospatial Climate Scientist,"Analyze remote sensing imagery to identify relationships between soil quality, crop canopy densities, light reflectance, and weather history."
Geospatial Climate Scientist,"Apply remote sensing data or techniques, such as surface water modeling or dust cloud detection, to address environmental issues."
Geospatial Climate Scientist,Attend meetings or seminars or read current literature to maintain knowledge of developments in the field of remote sensing.
Geospatial Climate Scientist,Collaborate with agricultural workers to apply remote sensing information to efforts to reduce negative environmental impacts of farming practices.
Geospatial Climate Scientist,"Collect information about specific features of the Earth, using aerial photography and other digital remote sensing techniques."
Geospatial Climate Scientist,Collect remote sensing data for forest or carbon tracking activities involved in assessing the impact of environmental change.
Geospatial Climate Scientist,"Collect supporting data, such as climatic or field survey data, to corroborate remote sensing data analyses."
Geospatial Climate Scientist,"Collect, compile, or integrate Geographic Information Systems (GIS) data, such as remote sensing or cartographic data for inclusion in map manuscripts."
Geospatial Climate Scientist,Conduct research into the application or enhancement of remote sensing technology.
Geospatial Climate Scientist,"Consult with remote sensing scientists, surveyors, cartographers, or engineers to determine project needs."
Geospatial Climate Scientist,"Design or develop new equipment or methods for meteorological data collection, remote sensing, or related applications."
Geospatial Climate Scientist,Develop or build databases for remote sensing or related geospatial project information.
Geospatial Climate Scientist,"Direct all activity associated with implementation, operation, or enhancement of remote sensing hardware or software."
Geospatial Climate Scientist,"Evaluate remote sensing project requirements to determine the types of equipment or computer software necessary to meet project requirements, such as specific image types or output resolutions."
Geospatial Climate Scientist,"Identify spatial coordinates, using remote sensing and Global Positioning System (GPS) data."
Geospatial Climate Scientist,Manage or analyze data obtained from remote sensing systems to obtain meaningful results.
Geospatial Climate Scientist,"Manipulate raw data to enhance interpretation, either on the ground or during remote sensing flights."
Geospatial Climate Scientist,Monitor quality of remote sensing data collection operations to determine if procedural or equipment changes are necessary.
"Research Assistant, Science and Strategy","Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements."
"Research Assistant, Science and Strategy","Apply principles of specialized fields of science, such as agronomy, soil science, forestry, or agriculture, to achieve conservation objectives."
"Research Assistant, Science and Strategy","Communicate geological findings by writing research papers, participating in conferences, or teaching geological science at universities."
"Research Assistant, Science and Strategy",Conduct research and communicate information to promote the conservation and preservation of water resources.
"Research Assistant, Science and Strategy","Conduct research on economic and environmental topics, such as alternative fuel use, public and private land use, soil conservation, air and water pollution control, and endangered species protection."
"Research Assistant, Science and Strategy","Conduct research, data analysis, systems design, or support for software such as Geographic Information Systems (GIS) or Global Positioning Systems (GPS) mapping software."
"Research Assistant, Science and Strategy","Evaluate research data in terms of its impact on issues such as soil and water conservation, flood control planning, and water supply forecasting."
"Research Assistant, Science and Strategy","Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections."
"Research Assistant, Science and Strategy","Review research literature to maintain knowledge on topics related to industrial ecology, such as physical science, technology, economy, and public policy."
"Research Assistant, Science and Strategy",Review research literature to remain current on psychological science issues.
Sustainability Reporting Analyst,"Interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation."
Sustainability Reporting Analyst,Maintain input or data quality of risk management systems.
Sustainability Reporting Analyst,"Analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure."
Sustainability Reporting Analyst,"Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies."
Sustainability Reporting Analyst,"Collect and analyze data to evaluate the effectiveness of academic programs and other services, such as behavioral management systems."
Sustainability Reporting Analyst,Create data management or error-checking procedures and user manuals.
Sustainability Reporting Analyst,"Analyze financial data, such as income growth, quality of management, and market share to determine expected profitability of loans."
Sustainability Reporting Analyst,"Collect, analyze, and interpret data, such as election results and public opinion surveys, reporting on findings, recommendations, and conclusions."
Sustainability Reporting Analyst,"Compare crop yield maps with maps of soil test data, chemical application patterns, or other information to develop site-specific crop management plans."
Sustainability Reporting Analyst,"Create, layer, and analyze maps showing precision agricultural data, such as crop yields, soil characteristics, input applications, terrain, drainage patterns, or field management history."
Sustainability Reporting Analyst,Deliver oral or written presentations of the results of mathematical modeling and data analysis to management or other end users.
Sustainability Reporting Analyst,Design and implement dashboard and data visualizations to meet customer reporting needs.
Sustainability Reporting Analyst,"Develop and coordinate fire prevention programs, such as false alarm billing, fire inspection reporting, and hazardous materials management."
Sustainability Reporting Analyst,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports."
Sustainability Reporting Analyst,"Develop formal documentation for microelectromechanical systems (MEMS) devices, including quality assurance guidance, quality control protocols, process control checklists, data collection, or reporting."
Sustainability Reporting Analyst,"Develop policies or requirements for data collection, processing, or reporting."
Sustainability Reporting Analyst,"Develop project-specific data management plans that address areas such as coding, reporting, or transfer of data, database locks, and work flow processes."
Sustainability Reporting Analyst,Develop technical specifications for data management programming and communicate needs to information technology staff.
Sustainability Reporting Analyst,"Develop water conservation or harvest plans, using weather information systems, irrigation information management systems, or other sources of daily evapotranspiration (ET) data."
Machine Learning Scientist,Conduct research to generate new knowledge that can be used to address learning and behavior issues.
Machine Learning Scientist,Develop or apply data mining and machine learning algorithms.
Machine Learning Scientist,"Research or recommend textbooks, software, equipment, or other learning materials to complement tutoring."
Machine Learning Scientist,"Design and apply bioinformatics algorithms including unsupervised and supervised machine learning, dynamic programming, or graphic algorithms."
Machine Learning Scientist,"Analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders."
Machine Learning Scientist,"Conduct meteorological research into the processes or determinants of atmospheric phenomena, weather, or climate."
Machine Learning Scientist,"Conduct research into the feasibility, design, operation, or performance of robotic mechanisms, components, or systems, such as planetary rovers, multiple mobile robots, reconfigurable robots, or man-machine interactions."
Machine Learning Scientist,"Gather and review climate-related studies from government agencies, research laboratories, and other organizations."
Machine Learning Scientist,Present and defend proposals for climate change research projects.
Machine Learning Scientist,"Research policies, practices, or procedures for climate or environmental management."
Machine Learning Scientist,"Research the impact of industrial projects or pollution on climate, air quality, or weather phenomena."
Machine Learning Scientist,"Teach, take continuing education classes, attend conferences or seminars, or conduct research and publish findings to increase understanding of mental, emotional, or behavioral states or disorders."
Power Market Fundamentals Analyst,"Analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure."
Power Market Fundamentals Analyst,"Investigate green consumer electronics applications for consumer electronic devices, power saving devices for computers or televisions, or energy efficient power chargers."
Power Market Fundamentals Analyst,"Research or develop emerging microelectromechanical (MEMS) systems to convert nontraditional energy sources into power, such as ambient energy harvesters that convert environmental vibrations into usable energy."
Power Market Fundamentals Analyst,"Develop project-specific data management plans that address areas such as coding, reporting, or transfer of data, database locks, and work flow processes."
Power Market Fundamentals Analyst,"Test performance of vehicles that use alternative fuels, such as alcohol blends, natural gas, liquefied petroleum gas, biodiesel, nano diesel, or alternative power methods, such as solar energy or hydrogen fuel cells."
Data Analyst,"Collect and analyze survey data, regulatory information, and demographic and employment trends to forecast enrollment patterns and the need for curriculum changes."
Data Analyst,"Collect data relating to commercial or residential development, population, or power system interconnection to determine operating efficiency of electrical systems."
Data Analyst,"Review, classify, and record survey data in preparation for computer analysis."
Data Analyst,"Compile, record, and code results or data from interview or survey, using computer or specified form."
Data Analyst,"Prepare and present summaries and analyses of survey data, including tables, graphs, and fact sheets that describe survey techniques and results."
Data Analyst,Determine data collection methods to be employed in research projects or surveys.
Data Analyst,"Identify relationships and trends in data, as well as any factors that could affect the results of research."
Data Analyst,"Analyze research data to determine its significance, using computers."
Data Analyst,"Collect, synthesize, analyze, manage, and report environmental data, such as pollution emission measurements, atmospheric monitoring measurements, meteorological or mineralogical information, or soil or water samples."
Data Analyst,Conduct research to gather information about survey topics.
Data Analyst,"Gather and analyze research data, such as statutes, decisions, and legal articles, codes, and documents."
Data Analyst,"Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements."
Data Analyst,"Plan or direct development or communication of programs to maintain favorable public or stockholder perceptions of an organization's accomplishments, agenda, or environmental responsibility."
Data Analyst,"Locate and review research articles or environmental, historical, or technical reports."
Data Analyst,"Collect and analyze survey data, regulatory information, and data on demographic and employment trends to forecast enrollment patterns and curriculum change needs."
Data Analyst,"Prepare technical reports, data summary documents, or research articles for scientific publication, regulatory submissions, or patent applications."
Data Analyst,"Conduct field surveys or study maps, graphs, diagrams, or other data to identify and correct power system problems."
Data Analyst,"Conduct research, compile data, and prepare papers for consideration and presentation by executives, committees, and boards of directors."
Remote Sensing Scientist,"Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements."
Remote Sensing Scientist,"Perform geospatial data building, modeling, or analysis, using advanced spatial analysis, data manipulation, or cartography software."
Remote Sensing Scientist,"Analyze data acquired from aircraft, satellites, or ground-based platforms, using statistical analysis software, image analysis software, or Geographic Information Systems (GIS)."
Remote Sensing Scientist,"Analyze remote sensing imagery to identify relationships between soil quality, crop canopy densities, light reflectance, and weather history."
Remote Sensing Scientist,"Apply remote sensing data or techniques, such as surface water modeling or dust cloud detection, to address environmental issues."
Remote Sensing Scientist,Attend meetings or seminars or read current literature to maintain knowledge of developments in the field of remote sensing.
Remote Sensing Scientist,Collaborate with agricultural workers to apply remote sensing information to efforts to reduce negative environmental impacts of farming practices.
Remote Sensing Scientist,"Collect information about specific features of the Earth, using aerial photography and other digital remote sensing techniques."
Remote Sensing Scientist,Collect remote sensing data for forest or carbon tracking activities involved in assessing the impact of environmental change.
Remote Sensing Scientist,"Collect supporting data, such as climatic or field survey data, to corroborate remote sensing data analyses."
Remote Sensing Scientist,"Collect, compile, or integrate Geographic Information Systems (GIS) data, such as remote sensing or cartographic data for inclusion in map manuscripts."
Remote Sensing Scientist,Conduct research into the application or enhancement of remote sensing technology.
Remote Sensing Scientist,"Conduct research, data analysis, systems design, or support for software such as Geographic Information Systems (GIS) or Global Positioning Systems (GPS) mapping software."
Remote Sensing Scientist,"Consult with remote sensing scientists, surveyors, cartographers, or engineers to determine project needs."
Remote Sensing Scientist,"Demonstrate the applications of geospatial technology, such as Global Positioning System (GPS), geographic information systems (GIS), automatic tractor guidance systems, variable rate chemical input applicators, surveying equipment, or computer mapping software."
Remote Sensing Scientist,Design or coordinate the development of integrated Geographic Information Systems (GIS) spatial or non-spatial databases.
Remote Sensing Scientist,"Design or develop new equipment or methods for meteorological data collection, remote sensing, or related applications."
Remote Sensing Scientist,Develop or build databases for remote sensing or related geospatial project information.
Remote Sensing Scientist,"Direct all activity associated with implementation, operation, or enhancement of remote sensing hardware or software."
GIS/Science Intern,"Develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation."
GIS/Science Intern,"Review, classify, and record survey data in preparation for computer analysis."
GIS/Science Intern,"Perform system analysis, data analysis or programming, using a variety of computer languages and procedures."
GIS/Science Intern,"Compile, log, or record testing or operational data for review and further analysis."
GIS/Science Intern,"Interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation."
GIS/Science Intern,"Prepare data analysis listings and activity, performance, or progress reports."
GIS/Science Intern,"Perform complex calculations as part of the analysis and evaluation of data, using computers."
GIS/Science Intern,"Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve."
GIS/Science Intern,"Conduct surveys and collect data, using methods such as interviews, questionnaires, focus groups, market analysis surveys, public opinion polls, literature reviews, and file reviews."
GIS/Science Intern,Maintain input or data quality of risk management systems.
GIS/Science Intern,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements."
GIS/Science Intern,"Plan or conduct market or public opinion research to test products or determine potential for product success, communicating results to client or management."
GIS/Science Intern,Design and create special programs for tasks such as statistical analysis and data entry and cleaning.
GIS/Science Intern,"Process large amounts of data for statistical modeling and graphic analysis, using computers."
GIS/Science Intern,"Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements."
GIS/Science Intern,"Perform geospatial data building, modeling, or analysis, using advanced spatial analysis, data manipulation, or cartography software."
GIS/Science Intern,"Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies."
GIS/Science Intern,"Collect and analyze data to evaluate the effectiveness of academic programs and other services, such as behavioral management systems."
Biodiversity Data Researcher,"Develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation."
Biodiversity Data Researcher,"Review, classify, and record survey data in preparation for computer analysis."
Biodiversity Data Researcher,"Perform system analysis, data analysis or programming, using a variety of computer languages and procedures."
Biodiversity Data Researcher,"Compile, log, or record testing or operational data for review and further analysis."
Biodiversity Data Researcher,"Prepare data analysis listings and activity, performance, or progress reports."
Biodiversity Data Researcher,"Perform complex calculations as part of the analysis and evaluation of data, using computers."
Biodiversity Data Researcher,Determine data collection methods to be employed in research projects or surveys.
Biodiversity Data Researcher,"Conduct surveys and collect data, using methods such as interviews, questionnaires, focus groups, market analysis surveys, public opinion polls, literature reviews, and file reviews."
Biodiversity Data Researcher,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements."
Biodiversity Data Researcher,"Identify relationships and trends in data, as well as any factors that could affect the results of research."
Biodiversity Data Researcher,"Analyze research data to determine its significance, using computers."
Biodiversity Data Researcher,"Gather and analyze research data, such as statutes, decisions, and legal articles, codes, and documents."
Biodiversity Data Researcher,Design and create special programs for tasks such as statistical analysis and data entry and cleaning.
Biodiversity Data Researcher,"Conduct market research analysis to identify search query trends, real-time search and news media activity, popular social media topics, electronic commerce trends, market opportunities, or competitor performance."
Biodiversity Data Researcher,"Process large amounts of data for statistical modeling and graphic analysis, using computers."
Biodiversity Data Researcher,"Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements."
Biodiversity Data Researcher,"Perform geospatial data building, modeling, or analysis, using advanced spatial analysis, data manipulation, or cartography software."
Biodiversity Data Researcher,Write detailed analysis plans and descriptions of analyses and findings for research protocols or reports.
Environmental Analyst,"Advise students on academic and vocational curricula, career issues, and laboratory and field research."
Environmental Analyst,"Conduct research in a particular field of knowledge and publish findings in books, professional journals, or electronic media."
Environmental Analyst,"Conduct research in a particular field of knowledge and publish findings in scholarly journals, books, or electronic media."
Environmental Analyst,Conduct research to generate new knowledge that can be used to address learning and behavior issues.
Environmental Analyst,"Develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation."
Environmental Analyst,"Record laboratory or field data, including numerical data, test results, photographs, or summaries of visual observations."
Environmental Analyst,"Review, classify, and record survey data in preparation for computer analysis."
Environmental Analyst,"Perform system analysis, data analysis or programming, using a variety of computer languages and procedures."
Environmental Analyst,"Compile, log, or record testing or operational data for review and further analysis."
Environmental Analyst,"Interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation."
Environmental Analyst,"Prepare data analysis listings and activity, performance, or progress reports."
Environmental Analyst,"Perform complex calculations as part of the analysis and evaluation of data, using computers."
Environmental Analyst,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources."
Environmental Analyst,Determine data collection methods to be employed in research projects or surveys.
Environmental Analyst,"Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve."
Environmental Analyst,Develop or apply data mining and machine learning algorithms.
Environmental Analyst,"Conduct surveys and collect data, using methods such as interviews, questionnaires, focus groups, market analysis surveys, public opinion polls, literature reviews, and file reviews."
Environmental Analyst,Maintain input or data quality of risk management systems.
Environmental Analyst,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements."
Remote Sensing/GIS Analyst,"Analyze remote sensing imagery to identify relationships between soil quality, crop canopy densities, light reflectance, and weather history."
Remote Sensing/GIS Analyst,"Apply remote sensing data or techniques, such as surface water modeling or dust cloud detection, to address environmental issues."
Remote Sensing/GIS Analyst,Attend meetings or seminars or read current literature to maintain knowledge of developments in the field of remote sensing.
Remote Sensing/GIS Analyst,Collaborate with agricultural workers to apply remote sensing information to efforts to reduce negative environmental impacts of farming practices.
Remote Sensing/GIS Analyst,"Collect information about specific features of the Earth, using aerial photography and other digital remote sensing techniques."
Remote Sensing/GIS Analyst,Collect remote sensing data for forest or carbon tracking activities involved in assessing the impact of environmental change.
Remote Sensing/GIS Analyst,"Collect supporting data, such as climatic or field survey data, to corroborate remote sensing data analyses."
Remote Sensing/GIS Analyst,"Collect, compile, or integrate Geographic Information Systems (GIS) data, such as remote sensing or cartographic data for inclusion in map manuscripts."
Remote Sensing/GIS Analyst,Conduct research into the application or enhancement of remote sensing technology.
Remote Sensing/GIS Analyst,"Consult with remote sensing scientists, surveyors, cartographers, or engineers to determine project needs."
Remote Sensing/GIS Analyst,"Design or develop new equipment or methods for meteorological data collection, remote sensing, or related applications."
Remote Sensing/GIS Analyst,Develop or build databases for remote sensing or related geospatial project information.
Remote Sensing/GIS Analyst,"Direct all activity associated with implementation, operation, or enhancement of remote sensing hardware or software."
Remote Sensing/GIS Analyst,"Evaluate remote sensing project requirements to determine the types of equipment or computer software necessary to meet project requirements, such as specific image types or output resolutions."
Remote Sensing/GIS Analyst,"Identify spatial coordinates, using remote sensing and Global Positioning System (GPS) data."
Remote Sensing/GIS Analyst,Manage or analyze data obtained from remote sensing systems to obtain meaningful results.
Remote Sensing/GIS Analyst,"Manipulate raw data to enhance interpretation, either on the ground or during remote sensing flights."
Remote Sensing/GIS Analyst,Monitor quality of remote sensing data collection operations to determine if procedural or equipment changes are necessary.
Remote Sensing/GIS Analyst,"Operate airborne remote sensing equipment, such as survey cameras, sensors, or scanners."
Data Management Intern,"Interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation."
Data Management Intern,Maintain input or data quality of risk management systems.
Data Management Intern,"Plan or conduct market or public opinion research to test products or determine potential for product success, communicating results to client or management."
Data Management Intern,Analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.
Data Management Intern,"Analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure."
Data Management Intern,"Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies."
Data Management Intern,"Collect and analyze data to evaluate the effectiveness of academic programs and other services, such as behavioral management systems."
Data Management Intern,"Analyze, interpret, or create graphical representations of energy data, using engineering software."
Data Management Intern,Create data management or error-checking procedures and user manuals.
Data Management Intern,"Advise clients or colleagues on topics such as climate control systems, energy modeling, data logging, sustainable design, or energy auditing."
Data Management Intern,"Analyze energy bills, including utility rates or tariffs, to gather historical energy usage data."
Data Management Intern,"Analyze financial data, such as income growth, quality of management, and market share to determine expected profitability of loans."
Data Management Intern,"Analyze project requests, proposals, or engineering data to determine feasibility, productibility, cost, or production time of aerospace or aeronautical products."
Data Management Intern,"Apply nanotechnology to improve the performance or reduce the environmental impact of energy products, such as fuel cells or solar cells."
Data Management Intern,"Assemble devices or equipment to be used in green technology applications, including solar energy, high efficiency solid state lighting, energy management, smart buildings, or green processes."
Data Management Intern,Collect and analyze field data related to energy usage.
Data Management Intern,"Collect data for energy conservation analyses, using jobsite observation, field inspections, or sub-metering."
Data Management Intern,Collect data regarding potential hazards from new equipment or products linked to green practices.
Environmental Scientist,"Monitor operations to ensure that staff members comply with administrative policies and procedures, safety rules, union contracts, environmental policies, or government regulations."
Environmental Scientist,"Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve."
Environmental Scientist,"Collect, synthesize, analyze, manage, and report environmental data, such as pollution emission measurements, atmospheric monitoring measurements, meteorological or mineralogical information, or soil or water samples."
Environmental Scientist,Design and create special programs for tasks such as statistical analysis and data entry and cleaning.
Environmental Scientist,"Attend sales or trade meetings or read related publications to obtain information about market conditions, business trends, environmental regulations, or industry developments."
Environmental Scientist,"Process large amounts of data for statistical modeling and graphic analysis, using computers."
Environmental Scientist,"Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements."
Environmental Scientist,"Perform geospatial data building, modeling, or analysis, using advanced spatial analysis, data manipulation, or cartography software."
Environmental Scientist,"Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies."
Environmental Scientist,"Apply mathematical or statistical techniques to address practical issues in finance, such as derivative valuation, securities trading, risk management, or financial market regulation."
Environmental Scientist,Develop mathematical or statistical models of phenomena to be used for analysis or for computational simulation.
Environmental Scientist,Interpret government regulations and applicable codes to ensure compliance.
Environmental Scientist,"Conduct field surveys or study maps, graphs, diagrams, or other data to identify and correct power system problems."
Environmental Scientist,"Develop educational materials and programs for community agencies, local government, and state government."
Environmental Scientist,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals."
Environmental Scientist,"Act as consultants to agency staff and other community programs regarding the interpretation of program-related federal, state, and county regulations and policies."
Environmental Scientist,"Adhere to all applicable regulations, policies, and procedures for health, safety, and environmental compliance."
Environmental Scientist,"Adhere to local, state, and federal laws, regulations, and statutes."
Environmental Intern / Co-op,"Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve."
Environmental Intern / Co-op,"Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements."
Environmental Intern / Co-op,"Design, use, or maintain databases and software applications, such as geographic information systems (GIS) mapping and artificial intelligence tools."
Environmental Intern / Co-op,"Troubleshoot problems involving office equipment, such as computer hardware and software."
Environmental Intern / Co-op,Identify methods for interfacing Web application technologies with enterprise resource planning or other system software.
